Date,Shift,Component,Defect Type,Temperature,Rejected Qty,Produced Qty,Machine,Sand Moisture (%),Pouring Time (sec),Operator,Cooling Time (min),Mold Hardness,Humidity (%),Inspection Result,Rejection Rate (%),Month,Year
2025-07-08,B,Wheel Hub,Misrun,674.0,21,705,M5,3.55,26.81,OP18,41,80,50,Fail,2.98,7.0,2025.0
2025-05-16,B,Cylinder Head,Shrinkage,772.0,105,882,M3,3.59,13.36,OP05,31,80,46,Pass,11.9,5.0,2025.0
2026-04-09,B,Engine Block,Cold Shut,749.0,59,600,M4,5.49,22.55,OP01,90,82,54,Pass,9.83,4.0,2026.0
2025-08-30,A,Brake Drum,Porosity,762.0,1,1130,M1,6.43,11.36,OP12,31,89,61,Pass,0.09,8.0,2025.0
2025-04-20,C,Gear Housing,Porosity,730.0,20,410,M5,5.41,12.21,OP10,40,69,35,Pass,4.88,4.0,2025.0
2025-11-19,C,Engine Block,Shrinkage,705.0,64,786,M4,4.83,23.18,OP07,52,69,42,Fail,8.14,11.0,2025.0
2026-04-05,B,Engine Block,Cold Shut,776.0,16,521,M4,7.45,24.42,OP07,90,68,80,Pass,3.07,4.0,2026.0
2025-05-29,A,Brake Drum,Cold Shut,762.0,47,878,M3,6.44,15.98,OP03,87,79,51,Pass,5.35,5.0,2025.0
2025-10-06,C,Brake Drum,Sand Inclusion,671.0,131,1121,M5,5.74,29.03,OP11,81,61,43,Pass,11.69,10.0,2025.0
2025-03-28,A,Gear Housing,Crack,729.0,103,1184,M3,3.22,28.71,OP11,47,84,38,Pass,8.7,3.0,2025.0
2025-02-20,B,Engine Block,Porosity,667.0,8,1017,M3,7.5,10.39,OP02,86,93,85,Pass,0.79,2.0,2025.0
2026-05-06,A,Wheel Hub,Crack,769.0,29,1126,M3,5.45,10.17,OP09,33,70,80,Pass,2.58,5.0,2026.0
2026-04-02,C,Clutch Plate,Cold Shut,725.0,45,755,M1,3.56,12.96,OP14,79,92,48,Fail,5.96,4.0,2026.0
2025-03-22,A,Brake Drum,Sand Inclusion,716.894983277592,22,1030,M3,3.56,22.45,OP20,61,84,61,Pass,2.14,3.0,2025.0
,B,Cylinder Head,Misrun,673.0,65,587,M4,3.27,13.7,OP03,87,93,53,Pass,11.07,,
2025-05-20,B,Gear Housing,Sand Inclusion,729.0,92,936,M2,4.78,20.87,OP19,40,89,83,Fail,9.83,5.0,2025.0
2025-01-04,C,Wheel Hub,Shrinkage,708.0,67,672,M3,5.5,14.59,OP05,44,92,77,Fail,9.97,1.0,2025.0
2025-02-06,A,Engine Block,Crack,999.0,49,541,M2,3.13,21.85,OP06,87,79,56,Pass,9.06,2.0,2025.0
2025-11-04,A,Gear Housing,Cold Shut,652.0,17,833,M3,4.87,29.86,OP19,37,79,57,Fail,2.04,11.0,2025.0
2025-10-04,A,Wheel Hub,Cold Shut,735.0,18,824,M5,5.94,20.71,OP17,61,76,42,Pass,2.18,10.0,2025.0
2025-09-28,B,Engine Block,Sand Inclusion,685.0,24,888,M3,3.06,29.7,OP19,58,77,71,Pass,2.7,9.0,2025.0
2026-03-11,A,Wheel Hub,Cold Shut,735.0,51,762,M5,6.02,20.43,OP11,53,87,81,Fail,6.69,3.0,2026.0
2025-02-24,B,Gear Housing,Cold Shut,999.0,9,437,M2,3.87,26.95,OP12,49,95,74,Pass,2.06,2.0,2025.0
,A,Clutch Plate,Shrinkage,772.0,12,1107,M1,4.02,29.14,OP07,71,92,75,Fail,1.08,,
2025-11-26,C,Brake Drum,Sand Inclusion,664.0,18,882,M3,7.33,13.13,OP15,21,76,58,Fail,2.04,11.0,2025.0
2026-04-25,C,Engine Block,Crack,764.0,56,915,M1,7.0,17.56,OP12,24,68,44,Pass,6.12,4.0,2026.0
2025-05-27,B,Engine Block,Sand Inclusion,767.0,56,788,M5,5.95,10.86,OP18,66,75,48,Fail,7.11,5.0,2025.0
2025-07-25,C,Clutch Plate,Sand Inclusion,711.0,55,728,M2,5.38,13.81,OP19,80,86,63,Fail,7.55,7.0,2025.0
